"month","monthly_revenue","total_orders","cumulative_revenue","prev_month_revenue","mom_growth_pct"
"2017-01",127482.37,750,127482.37,NULL,NULL
"2017-02",271239.32,1653,398721.69,127482.37,112.77
"2017-03",414330.95,2546,813052.64,271239.32,52.75
"2017-04",390812.40,2303,1203865.04,414330.95,-5.68
"2017-05",566851.40,3546,1770716.44,390812.40,45.04
"2017-06",490050.37,3135,2260766.81,566851.40,-13.55
"2017-07",566299.08,3872,2827065.89,490050.37,15.56
"2017-08",645832.36,4193,3472898.25,566299.08,14.04
"2017-09",701077.49,4150,4173975.74,645832.36,8.55
"2017-10",751117.01,4478,4925092.75,701077.49,7.14
"2017-11",1153364.20,7289,6078456.95,751117.01,53.55
"2017-12",843078.29,5513,6921535.24,1153364.20,-26.90
"2018-01",1077887.46,7069,7999422.70,843078.29,27.85
"2018-02",966168.41,6555,8965591.11,1077887.46,-10.36
"2018-03",1120598.24,7003,10086189.35,966168.41,15.98
"2018-04",1132878.93,6798,11219068.28,1120598.24,1.10
"2018-05",1128774.52,6749,12347842.80,1132878.93,-0.36
"2018-06",1011978.29,6099,13359821.09,1128774.52,-10.35
"2018-07",1027807.28,6159,14387628.37,1011978.29,1.56
"2018-08",985491.64,6351,15373120.01,1027807.28,-4.12
