"customer_state","top_category","total_revenue","total_orders","category_rank"
"SP","bed_bath_table",549061.89,4347,1
"RJ","watches_gifts",188264.84,789,1
"MG","health_beauty",175007.52,990,1
"RS","bed_bath_table",72428.18,537,1
"PR","sports_leisure",66641.83,420,1
"BA","health_beauty",58620.07,319,1
"PE","health_beauty",48797.50,220,1
"SC","sports_leisure",48776.71,309,1
"CE","health_beauty",37086.16,152,1
"DF","watches_gifts",35118.33,141,1
"GO","watches_gifts",34168.06,138,1
"ES","watches_gifts",30645.50,142,1
"PA","health_beauty",27534.84,99,1
"PB","health_beauty",18809.85,75,1
"MT","health_beauty",17743.33,83,1
"RN","health_beauty",16022.37,56,1
"MA","health_beauty",15461.60,82,1
"AL","health_beauty",14741.33,62,1
"MS","health_beauty",12739.15,57,1
"PI","health_beauty",12268.93,50,1
"SE","health_beauty",9639.74,38,1
"RO","health_beauty",7967.86,23,1
"TO","sports_leisure",6454.31,23,1
"AM","health_beauty",3368.68,15,1
"AP","computers_accessories",2322.19,6,1
"AC","sports_leisure",2071.54,9,1
"RR","sports_leisure",1742.92,6,1
