"seller_id","seller_city","seller_state","total_orders","total_revenue","avg_order_value","revenue_percentage"
"4869f7a5dfa277a7dca6462dcf3b52b2","guariba","SP",1124,247007.06,215.16,1.60
"7c67e1448b00f6e969d365cea6b010ab","itaquaquecetuba","SP",973,237806.69,175.50,1.54
"4a3ca9315b744ce9f8e9374361493884","ibitinga","SP",1772,231220.43,118.64,1.50
"53243585a1d6dc2643021fd1853d8905","lauro de freitas","BA",348,230797.02,576.99,1.50
"fa1c13f2614d7b5c4749cbc52fecda94","sumare","SP",578,200833.50,346.86,1.30
"da8622b14eb17ae2831f4ac5b9dab84a","piracicaba","SP",1311,184706.78,119.32,1.20
"7e93a43ef30c4f03f38b393420bc753a","barueri","SP",319,171973.55,534.08,1.12
"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP",910,171924.96,121.07,1.11
"7a67c85e85bb2ce8582c35f2203ad736","sao paulo","SP",1145,160278.52,138.77,1.04
"955fee9216a65b617aa5c0531780ce60","sao paulo","SP",1261,156606.48,106.39,1.02
