"category","total_revenue","total_orders","avg_order_value","revenue_percentage"
"health_beauty",1412089.53,8647,163.30,9.16
"watches_gifts",1264333.12,5495,230.09,8.20
"bed_bath_table",1225209.26,9272,132.14,7.95
"sports_leisure",1118256.91,7530,148.51,7.25
"computers_accessories",1032723.77,6530,158.15,6.70
"furniture_decor",880329.92,6307,139.58,5.71
"housewares",758392.25,5743,132.06,4.92
"cool_stuff",691680.89,3559,194.35,4.49
"auto",669454.75,3810,175.71,4.34
"garden_tools",567145.68,3448,164.49,3.68
"toys",547061.06,3804,143.81,3.55
"baby",466727.65,2809,166.15,3.03
"perfumery",443171.63,3086,143.61,2.87
"telephony",379202.62,4093,92.65,2.46
"office_furniture",335211.36,1254,267.31,2.17
